id,timestamp,likes,comments,location
8tI3_enxaK,2015-10-12,6,1.0,None
80wpktHxUq,2015-10-14,7,2.0,None
BQZOIIbjg_O,2017-02-12,18,0.0,None
BQajkYDj6oN,2017-02-12,16,2.0,None
BQdX3cOjgcX,2017-02-13,13,2.0,Vườn nho ba mọi Ninh Thuận
BQedKjAD-GK,2017-02-14,20,0.0,Cổng Trời Chùa Linh Quy Pháp Ấn Lâm Đồng
BQfpvF6Dn1-,2017-02-14,12,1.0,Vườn nho ba mọi Ninh Thuận
BQhn47NjJmK,2017-02-15,25,1.0,Phan Rang
BQnIUk0hHZO,2017-02-17,14,0.0,None
BRIOrFtBx2b,2017-03-02,48,0.0,None
BROEjqWh_iW,2017-03-04,18,0.0,None
BRS7nNOBA86,2017-03-06,18,0.0,None
BRi1xoXhqpJ,2017-03-12,28,2.0,None
BRndRFihTaY,2017-03-14,22,1.0,SCTV Tower - Senayan City
BR7pMwZBI9j,2017-03-22,27,0.0,None
BSLUVehh0Em,2017-03-28,42,0.0,"Danau Kaolin, Belitung"
BSOCOVmh0cD,2017-03-29,21,1.0,"Danau Kaolin, Belitung"
BSOCvKEBHTl,2017-03-29,21,1.0,"Tanjung Pandan, Belitung"
BSP9BhqBYcF,2017-03-30,36,5.0,"Gantung, Belitung Timur"
BSwAGz-BfTl,2017-04-11,29,0.0,"Danau Kaolin, Belitung"
BTLc_CiBWjg,2017-04-22,20,0.0,None
BTd3BXgh9su,2017-04-29,21,0.0,National Museum of China
BTd3K12hba2,2017-04-29,26,1.0,"China World Hotel, Beijing"
BTd3W1xh4Tw,2017-04-29,24,0.0,Sanlitun
BTi5iAThDFR,2017-05-01,18,0.0,None
BToH7iMBiAV,2017-05-03,23,0.0,Marina Bay Sands
BTtEYmph5O4,2017-05-05,35,4.0,Marina Bay Sands
BTx6bqwB2Gx,2017-05-07,25,0.0,Suntec Singapore Convention & Exhibition Centre
BUVc-cUBjB0,2017-05-21,22,0.0,Air Mancur Bundaran HI
BWNJqWGBUR4,2017-07-06,50,3.0,None
BdZ2PqqBU_S,2018-01-01,30,0.0,"Batu Caves Hindu Temple, Kuala Lumpur, Malaysia"
Bgbm9sclIxx,2018-03-17,50,4.0,Belitung Island
BpefQx3Hi36,2018-10-28,34,0.0,"Rancabali, Jawa Barat, Indonesia"
BqHjMXyHYBw,2018-11-13,41,3.0,Glamping Lakeside Rancabali Ciwidey
Bs7w871nKk7,2019-01-22,41,4.0,HUBBA Thailand
BtGqIAKHEXM,2019-01-26,19,0.0,GAME OVER LOUNGE THAILAND
BtXfsBQnEUW,2019-02-02,45,0.0,Algoritma
Bt05wNRADtn,2019-02-13,54,1.0,IOI City Mall
Bt58Wt8gHs_,2019-02-15,77,5.0,"Bali, Indonesia"
BuNJBMYAJAJ,2019-02-23,36,3.0,None
BulRtszg1Rx,2019-03-04,85,2.0,None
BvX6pBcAm8U,2019-03-24,45,0.0,吉隆坡中华独立中学
Bvdve6jgTJg,2019-03-26,26,2.0,HUBBA Thailand
BwG7_Hig4dg,2019-04-11,56,0.0,Algoritma
BwZpPkvgkQy,2019-04-18,31,2.0,Algoritma
BwrvzMfAE7I,2019-04-25,20,0.0,None
BxPEUIRgoPC,2019-05-09,25,0.0,None
BxZpwEyASlH,2019-05-13,35,0.0,None
B0YzT1HnVIo,2019-07-26,26,5.0,None
